City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
373,Atar,MR,20.5169,-13.0499,65.97,34,1,5.01,clear sky
374,Pacific Grove,US,36.6177,-121.9166,55.51,84,0,5.99,clear sky
375,Tacoronte,ES,28.4769,-16.4102,55.26,84,0,3.0,clear sky
376,Hofn,IS,64.2539,-15.2082,41.27,89,100,7.31,overcast clouds
377,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,88,77,6.31,broken clouds
378,Ojinaga,MX,29.5667,-104.4167,76.57,31,0,11.5,clear sky
379,Faanui,PF,-16.4833,-151.75,82.38,69,16,2.55,few clouds
380,Vestmanna,FO,62.1564,-7.1664,41.92,87,100,17.27,heavy intensity drizzle
381,Carauari,BR,-4.8828,-66.8958,67.8,100,100,0.63,overcast clouds
382,Kelso,US,46.1468,-122.9084,49.37,78,0,5.75,clear sky
383,San Cristobal,VE,7.7669,-72.225,71.78,80,23,2.21,few clouds
384,Filingue,NE,14.3521,3.3168,80.94,6,100,5.7,overcast clouds
385,Caetite,BR,-14.0694,-42.475,64.78,91,59,8.01,broken clouds
386,Deer Lake,CA,49.1667,-57.4316,33.66,86,75,9.22,broken clouds
387,Sao Filipe,CV,14.8961,-24.4956,69.91,75,68,4.52,broken clouds
388,Magadan,RU,59.5667,150.8,21.27,67,100,4.45,overcast clouds
389,Buenos Aires,AR,-34.6132,-58.3772,65.95,69,0,6.91,clear sky
390,Verkhnya Syrovatka,UA,50.829,34.9586,35.78,82,100,11.16,overcast clouds
391,Iqaluit,CA,63.7506,-68.5145,26.33,86,100,18.41,light snow
392,Sumy,UA,50.9216,34.8003,35.42,82,100,10.54,overcast clouds
393,Indramayu,ID,-6.3264,108.32,85.33,69,50,7.23,scattered clouds
394,Mtwara,TZ,-10.2667,40.1833,76.33,94,40,9.22,scattered clouds
395,Hastings,GB,50.8552,0.5729,36.32,70,3,11.01,clear sky
396,Mayuge,UG,0.4597,33.4803,67.42,76,93,5.28,overcast clouds
397,Zacualpan,MX,21.25,-105.1667,68.59,85,25,4.38,scattered clouds
398,Segou,ML,13.4317,-6.2157,82.45,25,60,3.27,broken clouds
399,Bad Berleburg,DE,51.05,8.4,20.61,92,41,2.73,scattered clouds
400,Bokovskaya,RU,49.229,41.8306,53.91,70,12,17.11,few clouds
401,Santa Rosa,PH,14.3122,121.1114,91.11,64,28,15.12,scattered clouds
402,Marzuq,YE,14.4,46.4667,75.52,21,0,2.42,clear sky
403,Tierralta,CO,8.1736,-76.0592,76.77,94,91,4.0,overcast clouds
404,Trapani,IT,37.8333,12.6667,50.23,71,40,14.97,scattered clouds
405,Rafsanjan,IR,30.4067,55.9939,74.28,10,1,6.4,clear sky
406,Waipawa,NZ,-41.4122,175.5153,62.17,83,23,3.31,few clouds
407,Umm Kaddadah,SD,13.6017,26.6876,76.32,18,54,11.65,broken clouds
408,Invermere,CA,50.5167,-116.0354,34.43,65,9,2.66,clear sky
409,Pithoragarh,IN,29.5833,80.2167,78.96,14,0,3.0,clear sky
410,San Isidro,PE,-12.1167,-77.05,71.02,75,0,11.5,clear sky
411,Dawei,MM,14.0833,98.2,86.92,40,37,12.71,scattered clouds
412,Iguape,BR,-24.7081,-47.5553,72.57,88,97,9.31,overcast clouds
413,Marrakesh,MA,31.6315,-8.0083,53.67,82,0,4.61,clear sky
