City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
294,Tomatlan,MX,63.82,clear sky,19.9333,-105.25,El Salvial
296,Jumla,NP,67.68,clear sky,29.2747,82.1838,Royal Garden Hotel
297,Panalingaan,PH,86.47,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
301,Acajutla,SV,81.01,broken clouds,13.5928,-89.8275,Laureles
302,Sabha,LY,67.1,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
303,Codrington,AU,64.62,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
306,Kahului,US,75.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
309,Cockburn Town,TC,77.7,few clouds,21.4612,-71.1419,Osprey Beach Hotel
310,Emerald,AU,89.74,broken clouds,-23.5333,148.1667,The Irish Village
312,Komsomolskiy,UZ,66.92,clear sky,40.4272,71.7189,Ikathouse
313,Akyab,MM,85.21,few clouds,20.15,92.9,Hotel Memory
314,Imbituba,BR,67.82,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
315,Ningxiang,CN,58.46,clear sky,37.34,111.2052,IU Hotel Luliang Xiaoyi Zhenxing Street
320,Xining,CN,52.29,overcast clouds,36.6167,101.7667,Super Leisure Hotel
321,Caetes,BR,65.55,scattered clouds,-8.7731,-36.6225,Chácara Hilston
322,Gannan,CN,68.04,clear sky,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
323,Buraydah,SA,64.85,scattered clouds,26.326,43.975,Mövenpick Qassim
324,Hervey Bay,AU,85.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
325,Kavieng,PG,82.29,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
326,Coari,BR,71.02,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
328,Nicoya,CR,78.84,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
329,Canavieiras,BR,73.51,scattered clouds,-15.675,-38.9472,Bahiadomizil
331,Batticaloa,LK,84.63,broken clouds,7.7102,81.6924,Grand Star Guest House
332,Huilong,CN,54.75,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
335,Cananeia,BR,70.02,overcast clouds,-25.0147,-47.9267,Pousada Ancoradouro
337,Bahia Blanca,AR,65.44,clear sky,-38.7196,-62.2724,Hotel Argos
342,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
343,Taikang,CN,64.36,clear sky,46.8333,124.4167,Jia Hotel
344,Chake Chake,TZ,83.57,broken clouds,-5.2459,39.7666,Hotel Archipelago
345,Hirara,JP,67.86,light intensity shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
346,Geraldton,AU,81.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
347,Kampot,KH,80.65,light rain,10.6167,104.1833,Two Moons Hotel
350,Santa Maria,BR,61.59,moderate rain,-29.6842,-53.8069,Hotel Morotin
352,Mana,GF,77.29,overcast clouds,5.6592,-53.7767,LE SAMANA
353,Bodden Town,KY,79.0,clear sky,19.2833,-81.25,Will T Place
354,San Policarpo,PH,82.63,broken clouds,12.1791,125.5072,Agapita M. Nicart
355,Agustin Codazzi,CO,84.18,broken clouds,10.0341,-73.2361,Hotel perija
356,San Rafael,AR,60.13,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
357,Obidos,BR,73.4,moderate rain,-1.9175,-55.5181,Hotel Amazônia Center
358,Salinopolis,BR,77.88,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
359,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
361,Flic En Flac,MU,77.56,light rain,-20.2742,57.3631,Hilton Mauritius Resort & Spa
363,Port Moresby,PG,76.42,shower rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
364,Hulan Ergi,CN,68.36,clear sky,47.2042,123.6333,Qiqihaer Zhongtian Hotel
366,Bandundu,CD,70.12,overcast clouds,-3.3167,17.3667,Coja Color
367,Vao,NC,79.05,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
368,Beira,MZ,73.49,few clouds,-19.8436,34.8389,Beira Terrace Hotel
369,Dargaville,NZ,70.72,overcast clouds,-35.9333,173.8833,Parkview Motel
370,Labuhan,ID,87.24,scattered clouds,-6.8844,112.2051,DoubleFAG
371,Bosaso,SO,82.38,clear sky,11.2842,49.1816,Red Sea Hotel
373,Atar,MR,65.97,clear sky,20.5169,-13.0499,Oumou Elghoura
374,Pacific Grove,US,55.51,clear sky,36.6177,-121.9166,Lovers Point Inn
375,Tacoronte,ES,55.26,clear sky,28.4769,-16.4102,Casa Laurel
377,Vila Franca Do Campo,PT,57.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
378,Ojinaga,MX,76.57,clear sky,29.5667,-104.4167,Suites Las Palmas
379,Faanui,PF,82.38,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
381,Carauari,BR,67.8,overcast clouds,-4.8828,-66.8958,Hotel Fellip
383,San Cristobal,VE,71.78,few clouds,7.7669,-72.225,Pirineos
385,Caetite,BR,64.78,broken clouds,-14.0694,-42.475,Hotel Porto do Sol
387,Sao Filipe,CV,69.91,broken clouds,14.8961,-24.4956,Hotel Xaguate
389,Buenos Aires,AR,65.95,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
393,Indramayu,ID,85.33,scattered clouds,-6.3264,108.32,Grand Trisula Hotel
394,Mtwara,TZ,76.33,scattered clouds,-10.2667,40.1833,TIL Hotels Mtwara
396,Mayuge,UG,67.42,overcast clouds,0.4597,33.4803,Kagolo Bar and Lodge
397,Zacualpan,MX,68.59,scattered clouds,21.25,-105.1667,La Colorada B&B
398,Segou,ML,82.45,broken clouds,13.4317,-6.2157,Comme chez soi
400,Bokovskaya,RU,53.91,few clouds,49.229,41.8306,Gostinitsa Stanitsa
401,Santa Rosa,PH,91.11,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
403,Tierralta,CO,76.77,overcast clouds,8.1736,-76.0592,Hotel La Marqueza
405,Rafsanjan,IR,74.28,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
406,Waipawa,NZ,62.17,few clouds,-41.4122,175.5153,Tora Coastal Walk
409,Pithoragarh,IN,78.96,clear sky,29.5833,80.2167,Hipostel Pithoragarh (Cafe Morrison)
410,San Isidro,PE,71.02,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
411,Dawei,MM,86.92,scattered clouds,14.0833,98.2,Hotel Dawei
412,Iguape,BR,72.57,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
413,Marrakesh,MA,53.67,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
416,Standerton,ZA,55.62,broken clouds,-26.9337,29.2415,Terrace Lofts
419,Namatanai,PG,83.86,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
420,Biak,ID,82.67,overcast clouds,-0.9131,122.8766,Penginapan Kim
423,Bucerias,MX,65.35,few clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
424,Morogoro,TZ,71.78,broken clouds,-6.8167,37.6667,Nashera Hotel
427,Taltal,CL,62.33,clear sky,-25.4,-70.4833,Residencial Karime
429,Kavaratti,IN,82.49,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
430,Eyl,SO,80.64,few clouds,7.9803,49.8164,Amiin Hotel
431,Powell River,CA,50.07,overcast clouds,49.8496,-124.5361,Rodmay Hotel
